description;setting;role;help;frequency;hierarchy;Duty;Intellect;Adversity;Mating;Positivity;Negativity;Deception;Sociality;Priority
I am going shopping with a member of a group I belong to because they asked for my advice.;casual;groupMember;giving;occasional;;4;3;3;1;4;2;2;4;6
I am meeting a member of a group I belong to for a social event.;casual;groupMember;neither;occasional;;4;4;3;1;5;3;4;5;6
I am meeting my friend because they need my expertise and help on their project.;work;friend;giving;occasional;;5;5;4;1;5;1;2;4;6
I have a meeting with my supervisor to get some feedback and help on a new project proposal I am working on. Note that my supervisor is of higher hierarchy compared to me.;work;supervisor;receiving;occasional;Higher;6;5;5;1;4;1;1;2;7
I am attending a project meeting with my supervisor to discuss the recent progress. Note that my supervisor is of higher hierarchy compared to me.;work;supervisor;neither;regular;Higher;4;4;4;1;5;2;1;3;5
I am having a dinner with my sibling which is restricted to family members.;family;sibling;neither;occasional;;4;5;4;1;6;1;1;4;5
I have accepted an invitation from a member of my extended family to practice sports together this weekend.;sport;extendedFamily;neither;occasional;;4;6;4;1;6;1;1;4;6
I have planned my regular movie night with a member of my extended family.;casual;extendedFamily;neither;regular;;1;2;1;1;1;6;6;1;1
I am meeting a member of my extended family for a social event.;casual;extendedFamily;receiving;occasional;;1;1;1;1;1;6;6;2;1
I am going shopping with my supervisor because they asked for my advice.;casual;supervisor;giving;occasional;Higher;1;1;1;1;1;6;6;1;1
I have a meeting with my supervisor to get some feedback and help on a new project proposal I am working on. Note that my supervisor is of higher hierarchy compared to me.;work;supervisor;receiving;occasional;Higher;6;5;4;1;5;2;1;3;7
I am attending a project meeting with my supervisor to discuss the recent progress. Note that my supervisor is of higher hierarchy compared to me.;work;supervisor;neither;regular;Higher;4;5;3;1;5;2;1;6;5
I am having a dinner with my sibling which is restricted to family members.;family;sibling;neither;occasional;;3;5;3;1;4;1;1;6;4
I am having a dinner with my partner which is restricted to family members.;family;partner;neither;occasional;;6;3;3;1;6;1;1;5;5
I am meeting my friend for our weekly sports training.;sport;friend;neither;regular;;4;3;4;4;3;4;4;5;6
I am meeting my neighbor for a social event.;casual;neighbour;receiving;occasional;;5;4;3;1;4;1;1;6;3
I am going shopping with my friend because they asked for my advice.;casual;friend;giving;occasional;;4;4;2;1;5;2;1;5;5
I am meeting my supervisor for a social event.;casual;supervisor;neither;occasional;Higher;5;4;3;1;5;1;1;6;1
I am meeting a member of a group I belong to because they need my expertise and help on their project.;work;groupMember;giving;occasional;;4;4;2;1;1;5;2;3;4
I have a meeting with my supervisor to get some feedback and help on a new project proposal I am working on. Note that my supervisor is of higher hierarchy compared to me.;work;supervisor;receiving;occasional;Higher;5;4;3;1;1;5;4;3;4
I am having a dinner with my parent which is restricted to family members.;family;parent;neither;regular;;1;2;1;1;4;2;1;4;4
I am having a dinner with my parent which is restricted to family members.;family;parent;neither;occasional;;1;1;4;1;1;4;2;3;1
I am meeting someone for our weekly sports training.;sport;other;neither;regular;;3;2;1;1;5;2;1;5;6
I have planned my regular movie night with a member of a group I belong to.;casual;groupMember;neither;regular;;3;2;1;1;3;4;1;5;2
I am meeting my friend for a social event.;casual;friend;receiving;occasional;;3;2;1;1;4;2;1;4;3
I am going shopping with my friend because they asked for my advice.;casual;friend;giving;occasional;;5;4;1;1;4;3;1;5;5
I am meeting my neighbor because they need my expertise and help on their project.;work;neighbour;giving;occasional;;6;6;2;1;5;3;2;4;7
I am attending a project meeting with my supervisor to discuss the recent progress. Note that my supervisor is of higher hierarchy compared to me.;work;supervisor;neither;regular;Higher;4;3;1;6;6;1;1;6;7
I am having a dinner with my partner which is restricted to family members.;family;partner;neither;regular;;5;4;4;1;2;5;3;4;3
I am having a dinner with my partner which is restricted to family members.;family;partner;neither;occasional;;2;2;1;1;5;2;1;5;3
I am meeting my neighbor for our weekly sports training.;sport;neighbour;neither;regular;;4;4;1;6;6;1;1;5;6
I have planned my regular movie night with my supervisor.;casual;supervisor;neither;regular;Higher;5;4;2;1;4;3;2;5;3
I am meeting my friend for a social event.;casual;friend;receiving;occasional;;6;4;1;1;4;2;1;5;2
I am meeting my friend for a social event.;casual;friend;neither;occasional;;5;4;2;1;4;2;1;5;3
I am attending a project meeting with my supervisor to discuss the recent progress. Note that my supervisor is of higher hierarchy compared to me.;work;supervisor;neither;regular;Higher;1;4;1;1;6;2;1;5;7
I am having a dinner with my child which is restricted to family members.;family;child;neither;regular;;1;5;1;1;6;1;1;6;7
I am having a dinner with my child which is restricted to family members.;family;child;neither;occasional;;1;1;1;1;5;2;1;6;7
I am having a dinner with my child which is restricted to family members.;family;child;neither;occasional;;6;3;1;1;4;1;1;5;4
I am meeting a member of my extended family for our weekly sports training.;sport;extendedFamily;neither;regular;;4;4;1;1;6;1;1;6;7
I have planned my regular movie night with my supervisor.;casual;supervisor;neither;regular;Higher;5;3;2;1;4;4;1;2;4
I am meeting my supervisor for a social event.;casual;supervisor;receiving;occasional;Higher;5;4;2;1;4;1;2;5;5
I am going shopping with my supervisor because they asked for my advice.;casual;supervisor;giving;occasional;Higher;3;3;4;1;3;4;1;3;7
I am meeting a member of a group I belong to because they need my expertise and help on their project.;work;groupMember;giving;occasional;;6;6;1;1;6;1;1;5;7
I am having a dinner with my sibling which is restricted to family members.;family;sibling;neither;regular;;1;6;1;1;6;1;1;6;7
I am having a dinner with my sibling which is restricted to family members.;family;sibling;neither;occasional;;1;5;1;4;6;1;1;6;5
I am having a dinner with my sibling which is restricted to family members.;family;sibling;neither;occasional;;1;1;5;1;1;6;5;1;1
I am meeting a member of a group I belong to for our weekly sports training.;sport;groupMember;neither;regular;;1;5;1;1;6;1;1;6;7
I have accepted an invitation from my supervisor to practice sports together this weekend.;sport;supervisor;neither;occasional;Higher;6;6;1;4;6;1;1;5;6
I am meeting my supervisor for a social event.;casual;supervisor;receiving;occasional;Higher;1;5;1;6;6;1;1;6;7
I am meeting my friend for a social event.;casual;friend;neither;occasional;;1;5;1;6;6;1;1;6;7
I have a meeting with my supervisor to get some feedback and help on a new project proposal I am working on. Note that my supervisor is of higher hierarchy compared to me.;work;supervisor;receiving;occasional;Higher;5;4;5;3;3;4;4;3;5
I am attending a project meeting with my supervisor to discuss the recent progress. Note that my supervisor is of higher hierarchy compared to me.;work;supervisor;neither;regular;Higher;3;5;3;4;5;3;2;4;5
I am having a dinner with my sibling which is restricted to family members.;family;sibling;neither;occasional;Higher;3;4;3;4;4;3;3;4;5
I am having a dinner with my sibling which is restricted to family members.;family;sibling;neither;occasional;Higher;6;2;4;2;3;5;4;3;3
I am meeting my supervisor for our weekly sports training.;sport;supervisor;neither;regular;Higher;5;3;4;3;3;4;4;3;3
I have accepted an invitation from my supervisor to practice sports together this weekend.;sport;supervisor;neither;occasional;Higher;5;4;3;2;4;3;2;3;6
I am going shopping with my supervisor because they asked for my advice.;casual;supervisor;giving;occasional;Higher;4;4;3;4;4;3;3;4;5
I am meeting my friend for a social event.;casual;friend;neither;occasional;Higher;5;2;4;2;3;4;4;2;3
I am meeting my neighbor because they need my expertise and help on their project.;work;neighbour;giving;occasional;;4;6;1;1;6;1;1;1;6
I have a meeting with my supervisor to get some feedback and help on a new project proposal I am working on. Note that my supervisor is of higher hierarchy compared to me.;work;supervisor;receiving;occasional;Higher;6;6;1;1;6;1;1;4;7
I am attending a project meeting with my supervisor to discuss the recent progress. Note that my supervisor is of higher hierarchy compared to me.;work;supervisor;neither;regular;Higher;1;4;1;1;6;1;1;6;7
I am having a dinner with a member of my extended family which is restricted to family members.;family;extendedFamily;neither;occasional;;1;6;1;1;4;1;1;6;5
I am meeting my supervisor for our weekly sports training.;sport;supervisor;neither;regular;Higher;6;4;1;1;6;1;1;6;7
I have planned my regular movie night with my neighbor.;casual;neighbour;neither;regular;;1;1;1;4;1;1;4;4;1
I am going shopping with a member of a group I belong to because they asked for my advice.;casual;groupMember;giving;occasional;;4;6;1;1;6;1;1;6;7
I am meeting my friend for a social event.;casual;friend;neither;occasional;;1;4;1;1;4;1;1;6;4
I have a meeting with my supervisor to get some feedback and help on a new project proposal I am working on. Note that my supervisor is of higher hierarchy compared to me.;work;supervisor;receiving;occasional;Higher;6;5;1;1;5;2;2;4;6
I am attending a project meeting with my supervisor to discuss the recent progress. Note that my supervisor is of higher hierarchy compared to me.;work;supervisor;neither;regular;Higher;6;6;1;6;6;1;1;6;7
I am having a dinner with my partner which is restricted to family members.;family;partner;neither;regular;Lower;5;2;5;1;2;5;3;2;5
I am having a dinner with my sibling which is restricted to family members.;family;sibling;neither;occasional;;5;5;2;1;5;2;2;5;6
I am meeting a member of my extended family for our weekly sports training.;sport;extendedFamily;neither;regular;;5;2;1;1;4;1;1;5;6
I have accepted an invitation from a member of my extended family to practice sports together this weekend.;sport;extendedFamily;neither;occasional;;6;6;1;1;6;1;1;6;7
I have planned my regular movie night with my friend.;casual;friend;neither;regular;Higher;5;5;1;1;4;1;1;5;6
I am meeting my friend for a social event.;casual;friend;neither;occasional;Higher;6;6;1;1;6;1;1;6;7
I am meeting my friend because they need my expertise and help on their project.;work;friend;giving;occasional;;6;5;4;1;4;4;2;3;6
I am attending a project meeting with my supervisor to discuss the recent progress. Note that my supervisor is of higher hierarchy compared to me.;work;supervisor;neither;regular;Higher;3;3;5;1;2;5;5;3;3
I am having a dinner with my partner which is restricted to family members.;family;partner;neither;regular;;2;3;4;1;2;5;5;4;3
I am having a dinner with my partner which is restricted to family members.;family;partner;neither;occasional;;2;3;1;1;4;1;1;4;3
I have accepted an invitation from my friend to practice sports together this weekend.;sport;friend;neither;occasional;;4;5;2;1;4;3;1;5;4
I have planned my regular movie night with my neighbor.;casual;neighbour;neither;regular;;2;4;2;1;4;3;1;5;4
I am going shopping with my neighbor because they asked for my advice.;casual;neighbour;giving;occasional;;5;4;3;1;3;4;1;5;5
I am meeting my neighbor for a social event.;casual;neighbour;neither;occasional;;4;3;2;1;4;3;1;5;5
I have a meeting with my supervisor to get some feedback and help on a new project proposal I am working on. Note that my supervisor is of higher hierarchy compared to me.;work;supervisor;receiving;occasional;Higher;6;6;2;1;2;4;1;4;6
I am attending a project meeting with my supervisor to discuss the recent progress. Note that my supervisor is of higher hierarchy compared to me.;work;supervisor;neither;regular;Higher;1;1;1;1;6;1;1;6;7
I am having a dinner with my sibling which is restricted to family members.;family;sibling;neither;regular;;2;1;1;1;6;1;1;1;7
I am having a dinner with my sibling which is restricted to family members.;family;sibling;neither;occasional;;4;1;2;1;4;1;1;4;4
I am meeting my neighbor for our weekly sports training.;sport;neighbour;neither;regular;;1;2;1;1;6;1;1;6;7
I have planned my regular movie night with my friend.;casual;friend;neither;regular;;1;5;5;1;4;5;3;4;1
I am meeting someone for a social event.;casual;other;receiving;occasional;;1;1;1;1;6;1;1;6;7
I am meeting someone for a social event.;casual;other;neither;occasional;;1;4;4;1;4;4;2;4;1
I am meeting my friend because they need my expertise and help on their project.;work;friend;giving;occasional;;5;5;2;1;5;3;2;2;6
I have a meeting with my supervisor to get some feedback and help on a new project proposal I am working on. Note that my supervisor is of higher hierarchy compared to me.;work;supervisor;receiving;occasional;Higher;6;5;2;1;3;3;1;1;6
I am having a dinner with my sibling which is restricted to family members.;family;sibling;neither;occasional;;4;3;3;1;3;3;1;5;5
I am having a dinner with my sibling which is restricted to family members.;family;sibling;neither;occasional;;4;4;2;1;4;2;1;4;5
I have accepted an invitation from my supervisor to practice sports together this weekend.;sport;supervisor;neither;occasional;Higher;4;5;2;1;5;2;2;4;6
I have planned my regular movie night with my friend.;casual;friend;neither;regular;;4;4;2;1;4;2;2;4;5
I am meeting my neighbor for a social event.;casual;neighbour;receiving;occasional;;4;4;2;1;4;2;2;4;6
I am meeting my supervisor for a social event.;casual;supervisor;neither;occasional;Higher;3;4;2;1;4;3;2;4;4
I am meeting my neighbor because they need my expertise and help on their project.;work;neighbour;giving;occasional;;6;6;1;1;5;1;1;3;7
I am attending a project meeting with my supervisor to discuss the recent progress. Note that my supervisor is of higher hierarchy compared to me.;work;supervisor;neither;regular;Higher;4;2;1;1;6;1;1;6;7
I am having a dinner with a member of my extended family which is restricted to family members.;family;extendedFamily;neither;regular;Higher;1;2;1;1;6;1;1;6;7
I am having a dinner with a member of my extended family which is restricted to family members.;family;extendedFamily;neither;occasional;Higher;1;1;1;1;4;1;1;4;2
I am meeting my friend for our weekly sports training.;sport;friend;neither;regular;;1;1;1;1;6;1;1;6;7
I have accepted an invitation from my neighbor to practice sports together this weekend.;sport;neighbour;neither;occasional;;4;5;2;1;4;1;2;3;3
I am meeting my friend for a social event.;casual;friend;receiving;occasional;;1;1;1;1;5;1;1;5;5
I am meeting my neighbor for a social event.;casual;neighbour;neither;occasional;;4;4;1;1;5;1;1;5;5
I am meeting my colleague because they need my expertise and help on their project. Note that my colleague is of lower hierarchy compared to me.;work;coWorker;giving;occasional;Lower;6;6;3;1;6;3;1;2;7
I have a meeting with my supervisor to get some feedback and help on a new project proposal I am working on. Note that my supervisor is of higher hierarchy compared to me.;work;supervisor;receiving;occasional;Higher;6;5;3;1;3;3;1;2;5
I am attending a project meeting with my supervisor to discuss the recent progress. Note that my supervisor is of higher hierarchy compared to me.;work;supervisor;neither;regular;Higher;4;2;2;1;4;3;1;4;4
I am having a dinner with my sibling which is restricted to family members.;family;sibling;neither;regular;;4;1;2;1;4;3;1;4;5
I am meeting my colleague for our weekly sports training.;sport;coWorker;neither;regular;Lower;4;1;1;1;5;2;1;5;7
I have planned my regular movie night with my friend.;casual;friend;neither;regular;;1;1;1;1;1;4;4;4;1
I am meeting my colleague for a social event.;casual;coWorker;receiving;occasional;Lower;4;2;3;1;3;4;4;3;3
I am going shopping with my friend because they asked for my advice.;casual;friend;giving;occasional;;4;3;1;1;4;3;1;4;5
I have a meeting with my supervisor to get some feedback and help on a new project proposal I am working on. Note that my supervisor is of higher hierarchy compared to me.;work;supervisor;receiving;occasional;Higher;6;6;1;1;4;1;1;1;7
I am attending a project meeting with my supervisor to discuss the recent progress. Note that my supervisor is of higher hierarchy compared to me.;work;supervisor;neither;regular;Higher;1;6;1;6;6;1;1;6;7
I am having a dinner with my partner which is restricted to family members.;family;partner;neither;regular;Higher;1;6;1;6;6;1;1;6;7
I am having a dinner with my partner which is restricted to family members.;family;partner;neither;occasional;Higher;6;5;1;1;4;1;1;3;5
I am meeting a member of my extended family for our weekly sports training.;sport;extendedFamily;neither;regular;;1;5;1;6;6;1;1;5;7
I have planned my regular movie night with someone.;casual;other;neither;regular;;6;3;6;1;2;6;5;3;2
I am going shopping with my supervisor because they asked for my advice.;casual;supervisor;giving;occasional;Higher;6;4;1;1;4;1;1;2;7
I am meeting my supervisor for a social event.;casual;supervisor;neither;occasional;Higher;6;2;1;1;3;4;1;2;3
I have a meeting with my supervisor to get some feedback and help on a new project proposal I am working on. Note that my supervisor is of higher hierarchy compared to me.;work;supervisor;receiving;occasional;Higher;4;3;1;1;3;2;1;1;1
I am having a dinner with my partner which is restricted to family members.;family;partner;neither;regular;;2;2;1;5;6;1;1;6;7
I am having a dinner with my partner which is restricted to family members.;family;partner;neither;occasional;;5;5;1;1;4;1;1;4;5
I am having a dinner with my partner which is restricted to family members.;family;partner;neither;occasional;;3;4;1;1;5;1;1;6;6
I have accepted an invitation from my colleague to practice sports together this weekend.;sport;coWorker;neither;occasional;Lower;6;5;1;1;5;1;1;4;5
I have planned my regular movie night with a member of a group I belong to.;casual;groupMember;neither;regular;;2;1;1;1;2;4;2;4;1
I am meeting my colleague for a social event.;casual;coWorker;receiving;occasional;Lower;2;1;3;1;1;4;4;3;1
I am going shopping with a member of a group I belong to because they asked for my advice.;casual;groupMember;giving;occasional;;3;1;1;1;4;3;1;4;4
I am meeting my friend because they need my expertise and help on their project.;work;friend;giving;occasional;;6;5;2;1;4;2;2;3;7
I have a meeting with my supervisor to get some feedback and help on a new project proposal I am working on. Note that my supervisor is of higher hierarchy compared to me.;work;supervisor;receiving;occasional;Higher;5;4;5;1;2;6;5;1;2
I am attending a project meeting with my colleague to discuss the recent progress.;work;coWorker;neither;regular;;4;3;1;6;6;1;1;6;7
I am having a dinner with my partner which is restricted to family members.;family;partner;neither;regular;;4;4;1;6;6;1;1;6;6
I have accepted an invitation from my supervisor to practice sports together this weekend.;sport;supervisor;neither;occasional;Higher;5;6;1;1;5;2;2;6;6
I have planned my regular movie night with my neighbor.;casual;neighbour;neither;regular;;4;4;2;1;5;2;1;4;2
I am meeting my supervisor for a social event.;casual;supervisor;receiving;occasional;Higher;4;2;1;1;5;2;2;3;3
I am meeting my supervisor for a social event.;casual;supervisor;neither;occasional;Higher;4;6;2;1;5;1;1;6;6
I am meeting my friend because they need my expertise and help on their project.;work;friend;giving;occasional;;6;5;2;1;5;2;1;4;5
I have a meeting with my supervisor to get some feedback and help on a new project proposal I am working on. Note that my supervisor is of higher hierarchy compared to me.;work;supervisor;receiving;occasional;Higher;5;6;3;1;4;3;3;5;6
I am attending a project meeting with my supervisor to discuss the recent progress. Note that my supervisor is of higher hierarchy compared to me.;work;supervisor;neither;regular;Higher;1;5;1;1;6;1;1;6;7
I am having a dinner with my parent which is restricted to family members.;family;parent;neither;occasional;;1;5;5;6;4;4;6;6;1
I have planned my regular movie night with my friend.;casual;friend;neither;regular;;4;4;2;4;5;1;2;6;6
I am meeting someone for a social event.;casual;other;receiving;occasional;Lower;1;5;1;1;6;1;1;5;6
I am going shopping with my supervisor because they asked for my advice.;casual;supervisor;giving;occasional;Higher;3;4;5;5;3;4;5;4;4
I am meeting someone for a social event.;casual;other;neither;occasional;Lower;4;5;2;4;6;2;2;5;5
I am meeting my colleague because they need my expertise and help on their project.;work;coWorker;giving;occasional;;5;6;1;1;6;1;1;4;6
I have a meeting with my supervisor to get some feedback and help on a new project proposal I am working on. Note that my supervisor is of higher hierarchy compared to me.;work;supervisor;receiving;occasional;Higher;1;6;1;1;6;1;1;6;6
I am having a dinner with my child which is restricted to family members.;family;child;neither;regular;;3;4;1;1;6;1;1;6;7
I am having a dinner with my child which is restricted to family members.;family;child;neither;occasional;;1;6;1;1;6;1;1;6;6
I am meeting my friend for our weekly sports training.;sport;friend;neither;regular;;5;6;1;1;6;1;1;4;7
I have accepted an invitation from my supervisor to practice sports together this weekend.;sport;supervisor;neither;occasional;Higher;3;3;1;1;4;3;1;1;3
I am going shopping with my colleague because they asked for my advice.;casual;coWorker;giving;occasional;;4;5;1;1;6;1;1;4;7
I am meeting my friend for a social event.;casual;friend;neither;occasional;;4;4;2;1;4;3;1;3;3
I am meeting my friend because they need my expertise and help on their project.;work;friend;giving;occasional;;6;6;2;1;5;1;1;4;7
I am attending a project meeting with my supervisor to discuss the recent progress. Note that my supervisor is of higher hierarchy compared to me.;work;supervisor;neither;regular;Higher;6;4;1;1;6;2;1;6;7
I am having a dinner with my sibling which is restricted to family members.;family;sibling;neither;regular;;6;4;1;1;6;1;1;6;7
I am having a dinner with my sibling which is restricted to family members.;family;sibling;neither;occasional;;1;3;3;1;4;3;1;5;5
I have accepted an invitation from my friend to practice sports together this weekend.;sport;friend;neither;occasional;;5;4;1;1;5;2;1;5;7
I have planned my regular movie night with my friend.;casual;friend;neither;regular;;4;4;1;1;4;1;1;5;4
I am meeting my friend for a social event.;casual;friend;receiving;occasional;;4;3;1;1;4;3;2;4;5
I am going shopping with my supervisor because they asked for my advice.;casual;supervisor;giving;occasional;Higher;5;4;1;1;5;2;1;5;7
I have a meeting with my supervisor to get some feedback and help on a new project proposal I am working on. Note that my supervisor is of higher hierarchy compared to me.;work;supervisor;receiving;occasional;Higher;4;5;2;2;4;2;2;4;6
I am having a dinner with a member of my extended family which is restricted to family members.;family;extendedFamily;neither;regular;;3;3;2;2;5;2;2;5;6
I am having a dinner with a member of my extended family which is restricted to family members.;family;extendedFamily;neither;occasional;;3;3;2;2;5;2;2;5;6
I am having a dinner with a member of my extended family which is restricted to family members.;family;extendedFamily;neither;occasional;;3;3;3;2;4;3;2;2;5
I have accepted an invitation from my friend to practice sports together this weekend.;sport;friend;neither;occasional;;4;5;2;2;4;2;2;3;6
I have planned my regular movie night with my friend.;casual;friend;neither;regular;;3;3;3;2;4;3;2;3;4
I am meeting my supervisor for a social event.;casual;supervisor;receiving;occasional;Higher;3;3;2;2;4;3;2;4;5
I am going shopping with my neighbor because they asked for my advice.;casual;neighbour;giving;occasional;;3;3;2;2;5;2;2;4;6
I have a meeting with my supervisor to get some feedback and help on a new project proposal I am working on. Note that my supervisor is of higher hierarchy compared to me.;work;supervisor;receiving;occasional;Higher;6;6;5;6;6;1;1;1;7
I am attending a project meeting with my supervisor to discuss the recent progress. Note that my supervisor is of higher hierarchy compared to me.;work;supervisor;neither;regular;Higher;6;5;5;3;6;1;1;6;7
I am having a dinner with my sibling which is restricted to family members.;family;sibling;neither;occasional;;4;1;5;6;6;1;1;6;6
I am having a dinner with my sibling which is restricted to family members.;family;sibling;neither;occasional;;4;3;5;5;6;1;1;6;6
I am meeting my friend for our weekly sports training.;sport;friend;neither;regular;;1;1;5;1;2;5;4;4;3
I have planned my regular movie night with my colleague.;casual;coWorker;neither;regular;;4;1;5;5;6;1;1;6;5
I am meeting a member of my extended family for a social event.;casual;extendedFamily;receiving;occasional;;1;4;4;2;5;2;1;5;5
I am meeting my friend for a social event.;casual;friend;neither;occasional;;1;1;1;1;4;2;4;4;1
I am meeting my friend because they need my expertise and help on their project.;work;friend;giving;occasional;;5;4;3;1;4;2;2;3;6
I have a meeting with my supervisor to get some feedback and help on a new project proposal I am working on. Note that my supervisor is of higher hierarchy compared to me.;work;supervisor;receiving;occasional;Higher;6;5;1;1;4;2;2;4;7
I am having a dinner with my parent which is restricted to family members.;family;parent;neither;regular;Higher;1;2;2;1;2;6;6;1;1
I am having a dinner with my parent which is restricted to family members.;family;parent;neither;occasional;Higher;5;4;2;1;5;2;2;6;6
I am meeting my friend for our weekly sports training.;sport;friend;neither;regular;;1;2;6;1;1;6;6;2;1
I have planned my regular movie night with my friend.;casual;friend;neither;regular;;5;4;2;1;4;1;1;4;6
I am going shopping with my friend because they asked for my advice.;casual;friend;giving;occasional;;4;4;2;1;4;1;1;4;6
I am meeting my neighbor for a social event.;casual;neighbour;neither;occasional;;4;3;1;1;4;1;2;5;5
I am meeting my supervisor because they need my expertise and help on their project. Note that my supervisor is of higher hierarchy compared to me.;work;supervisor;giving;occasional;Higher;6;6;3;1;3;4;1;3;7
I am attending a project meeting with my supervisor to discuss the recent progress. Note that my supervisor is of higher hierarchy compared to me.;work;supervisor;neither;regular;Higher;5;6;3;1;4;4;4;5;5
I am having a dinner with my parent which is restricted to family members.;family;parent;neither;regular;Higher;2;5;2;1;5;5;4;6;7
I am having a dinner with my parent which is restricted to family members.;family;parent;neither;occasional;Higher;4;6;3;4;6;3;4;6;6
I am meeting my friend for our weekly sports training.;sport;friend;neither;regular;;6;6;3;1;4;3;3;6;7
I have accepted an invitation from my colleague to practice sports together this weekend.;sport;coWorker;neither;occasional;;4;3;6;1;1;6;5;4;1
I am meeting my colleague for a social event.;casual;coWorker;receiving;occasional;;2;6;4;4;6;3;3;6;5
I am going shopping with my friend because they asked for my advice.;casual;friend;giving;occasional;;4;6;1;2;6;3;1;6;4
I am meeting my neighbor because they need my expertise and help on their project.;work;neighbour;giving;occasional;;4;4;1;1;5;1;1;1;7
I am attending a project meeting with my supervisor to discuss the recent progress. Note that my supervisor is of higher hierarchy compared to me.;work;supervisor;neither;regular;Higher;1;1;1;6;6;1;1;4;7
I am having a dinner with my partner which is restricted to family members.;family;partner;neither;occasional;;1;1;1;1;6;1;1;6;7
I am having a dinner with my partner which is restricted to family members.;family;partner;neither;occasional;;1;1;1;1;5;1;1;6;3
I am meeting my supervisor for our weekly sports training.;sport;supervisor;neither;regular;Higher;1;1;1;6;6;1;1;6;7
I am meeting my supervisor for a social event.;casual;supervisor;receiving;occasional;Higher;1;1;1;1;6;1;1;6;7
I am going shopping with my neighbor because they asked for my advice.;casual;neighbour;giving;occasional;;4;2;1;1;5;1;1;5;5
I am meeting my friend for a social event.;casual;friend;neither;occasional;;4;1;1;1;4;1;1;5;6
I am meeting my colleague because they need my expertise and help on their project. Note that my colleague is of lower hierarchy compared to me.;work;coWorker;giving;occasional;Lower;4;5;3;1;5;3;3;4;5
I have a meeting with my supervisor to get some feedback and help on a new project proposal I am working on. Note that my supervisor is of higher hierarchy compared to me.;work;supervisor;receiving;occasional;Higher;5;5;3;1;5;3;2;4;5
I am attending a project meeting with my colleague to discuss the recent progress. Note that my colleague is of lower hierarchy compared to me.;work;coWorker;neither;regular;Lower;4;5;2;1;6;2;2;6;5
I am having a dinner with my sibling which is restricted to family members.;family;sibling;neither;occasional;;4;4;2;1;4;3;2;5;5
I am meeting my friend for our weekly sports training.;sport;friend;neither;regular;;3;4;1;1;6;2;2;6;5
I have planned my regular movie night with my supervisor.;casual;supervisor;neither;regular;Higher;4;4;2;1;5;2;3;5;5
I am meeting my colleague for a social event.;casual;coWorker;receiving;occasional;Lower;3;4;2;1;6;1;2;6;5
I am going shopping with my supervisor because they asked for my advice.;casual;supervisor;giving;occasional;Higher;4;4;2;1;5;2;3;5;5
I am meeting my friend because they need my expertise and help on their project.;work;friend;giving;occasional;;6;6;4;1;5;3;3;4;7
I am attending a project meeting with my supervisor to discuss the recent progress. Note that my supervisor is of higher hierarchy compared to me.;work;supervisor;neither;regular;Higher;2;4;1;1;6;2;1;6;7
I am having a dinner with my sibling which is restricted to family members.;family;sibling;neither;regular;;2;1;5;1;1;6;6;2;1
I am having a dinner with my parent which is restricted to family members.;family;parent;neither;occasional;Higher;1;6;2;6;6;1;2;6;6
I am meeting my friend for our weekly sports training.;sport;friend;neither;regular;;6;5;6;1;1;6;6;3;1
I have accepted an invitation from my friend to practice sports together this weekend.;sport;friend;neither;occasional;;6;6;4;5;5;4;1;4;7
I am meeting my friend for a social event.;casual;friend;receiving;occasional;;1;5;1;5;6;3;2;6;6
I am going shopping with my supervisor because they asked for my advice.;casual;supervisor;giving;occasional;Higher;5;6;3;5;5;3;1;4;7
I am meeting my friend because they need my expertise and help on their project.;work;friend;giving;occasional;;4;6;2;1;5;2;2;5;6
I have a meeting with my supervisor to get some feedback and help on a new project proposal I am working on. Note that my supervisor is of higher hierarchy compared to me.;work;supervisor;receiving;occasional;Higher;6;5;2;1;5;2;2;5;6
I am attending a project meeting with my supervisor to discuss the recent progress. Note that my supervisor is of higher hierarchy compared to me.;work;supervisor;neither;regular;Higher;2;5;5;1;1;6;4;3;1
I am having a dinner with my partner which is restricted to family members.;family;partner;neither;regular;;1;4;5;1;1;6;5;2;1
I have accepted an invitation from my friend to practice sports together this weekend.;sport;friend;neither;occasional;;5;6;1;1;5;2;2;6;6
I have planned my regular movie night with my supervisor.;casual;supervisor;neither;regular;Higher;4;4;2;1;5;2;2;5;6
I am meeting my friend for a social event.;casual;friend;receiving;occasional;;6;5;1;1;5;4;1;6;6
I am meeting my supervisor for a social event.;casual;supervisor;neither;occasional;Higher;3;4;2;1;4;2;1;5;2
I have a meeting with my supervisor to get some feedback and help on a new project proposal I am working on. Note that my supervisor is of higher hierarchy compared to me.;work;supervisor;receiving;occasional;Higher;1;3;5;1;2;5;2;2;1
I am attending a project meeting with my colleague to discuss the recent progress.;work;coWorker;neither;regular;;3;4;1;5;6;1;1;5;7
I am having a dinner with my partner which is restricted to family members.;family;partner;neither;regular;;3;4;1;5;6;1;1;6;7
I am having a dinner with my partner which is restricted to family members.;family;partner;neither;occasional;;2;4;2;1;4;3;2;4;3
I am meeting my supervisor for our weekly sports training.;sport;supervisor;neither;regular;Higher;4;4;1;5;6;1;2;5;7
I have accepted an invitation from my supervisor to practice sports together this weekend.;sport;supervisor;neither;occasional;Higher;5;5;1;1;5;2;2;5;7
I am meeting my colleague for a social event.;casual;coWorker;receiving;occasional;;1;3;5;1;2;5;3;2;1
